timestamp,day_type
2023-04-22,Week Day & Change Holiday
2023-04-23,Work Day
2023-04-24,Work Day
2023-04-25,Work Day
2023-04-26,Work Day
2023-04-27,Work Day
2023-04-28,Work Day
2023-04-29,Labour Day
2023-04-30,Labour Day
2023-05-01,Labour Day
2023-05-02,Labour Day
2023-05-03,Labour Day
2023-05-04,Work Day
2023-05-05,Work Day
2023-05-06,Work Day
2023-05-07,Week Day & Change Holiday
2023-05-08,Work Day
2023-05-09,Work Day
2023-05-10,Work Day
2023-05-11,Work Day
2023-05-12,Work Day
2023-05-13,Week Day & Change Holiday
2023-05-14,Week Day & Change Holiday
2023-05-15,Work Day
2023-05-16,Work Day
2023-05-17,Work Day
2023-05-18,Work Day
2023-05-19,Work Day
2023-05-20,Week Day & Change Holiday
2023-05-21,Week Day & Change Holiday
2023-05-22,Work Day
2023-05-23,Work Day
2023-05-24,Work Day
2023-05-25,Work Day
2023-05-26,Work Day
2023-05-27,Week Day & Change Holiday
2023-05-28,Week Day & Change Holiday
2023-05-29,Work Day
2023-05-30,Work Day
2023-05-31,Work Day
2023-06-01,Work Day
2023-06-02,Work Day
2023-06-03,Week Day & Change Holiday
2023-06-04,Week Day & Change Holiday
2023-06-05,Work Day
2023-06-06,Work Day
2023-06-07,Work Day
2023-06-08,Work Day
2023-06-09,Work Day
2023-06-10,Week Day & Change Holiday
2023-06-11,Week Day & Change Holiday
2023-06-12,Work Day
2023-06-13,Work Day
2023-06-14,Work Day
2023-06-15,Work Day
2023-06-16,Work Day
2023-06-17,Week Day & Change Holiday
2023-06-18,618
2023-06-19,Work Day
2023-06-20,Work Day
2023-06-21,Work Day
2023-06-22,Dragon Boat Festival
2023-06-23,Dragon Boat Festival
2023-06-24,Dragon Boat Festival
2023-06-25,Work Day
2023-06-26,Work Day
2023-06-27,Work Day
2023-06-28,Work Day
2023-06-29,Work Day
2023-06-30,Work Day
2023-07-01,Week Day & Change Holiday
2023-07-02,Week Day & Change Holiday
2023-07-03,Work Day
2023-07-04,Work Day
2023-07-05,Work Day
2023-07-06,Work Day
2023-07-07,Work Day
2023-07-08,Week Day & Change Holiday
2023-07-09,Week Day & Change Holiday
2023-07-10,Work Day
2023-07-11,Work Day
2023-07-12,Work Day
2023-07-13,Work Day
2023-07-14,Work Day
2023-07-15,Week Day & Change Holiday
2023-07-16,Week Day & Change Holiday
2023-07-17,Work Day
2023-07-18,Work Day
2023-07-19,Work Day
2023-07-20,Work Day
2023-07-21,Work Day
2023-07-22,Week Day & Change Holiday
2023-07-23,Week Day & Change Holiday
2023-07-24,Work Day
2023-07-25,Work Day
2023-07-26,Work Day
2023-07-27,Work Day
2023-07-28,Work Day
2023-07-29,Week Day & Change Holiday
2023-07-30,Week Day & Change Holiday
2023-07-31,Work Day
2023-08-01,Work Day
2023-08-02,Work Day
2023-08-03,Work Day
2023-08-04,Work Day
2023-08-05,Week Day & Change Holiday
2023-08-06,Week Day & Change Holiday
2023-08-07,Work Day
2023-08-08,Work Day
2023-08-09,Work Day
2023-08-10,Work Day
2023-08-11,Work Day
2023-08-12,Week Day & Change Holiday
2023-08-13,Week Day & Change Holiday
2023-08-14,Work Day
2023-08-15,Work Day
2023-08-16,Work Day
2023-08-17,Work Day
2023-08-18,818
2023-08-19,Week Day & Change Holiday
2023-08-20,Week Day & Change Holiday
2023-08-21,Work Day
2023-08-22,Work Day
2023-08-23,Work Day
2023-08-24,Work Day
2023-08-25,Work Day
2023-08-26,Week Day & Change Holiday
2023-08-27,Week Day & Change Holiday
2023-08-28,Work Day
2023-08-29,Work Day
2023-08-30,Work Day
2023-08-31,Work Day
2023-09-01,Work Day
2023-09-02,Week Day & Change Holiday
2023-09-03,Week Day & Change Holiday
2023-09-04,Work Day
2023-09-05,Work Day
2023-09-06,Work Day
2023-09-07,Work Day
2023-09-08,Work Day
2023-09-09,Week Day & Change Holiday
2023-09-10,Week Day & Change Holiday
2023-09-11,Work Day
2023-09-12,Work Day
2023-09-13,Work Day
2023-09-14,Work Day
2023-09-15,Work Day
2023-09-16,Week Day & Change Holiday
2023-09-17,Week Day & Change Holiday
2023-09-18,Work Day
2023-09-19,Work Day
2023-09-20,Work Day
2023-09-21,Work Day
2023-09-22,Work Day
2023-09-23,Week Day & Change Holiday
2023-09-24,Week Day & Change Holiday
2023-09-25,Work Day
2023-09-26,Work Day
2023-09-27,Work Day
2023-09-28,Work Day
2023-09-29,Mid-autumn Festival
2023-09-30,National Day
2023-10-01,National Day
2023-10-02,National Day
2023-10-03,National Day
2023-10-04,National Day
2023-10-05,National Day
2023-10-06,National Day
2023-10-07,Work Day
2023-10-08,Work Day
2023-10-09,Work Day
2023-10-10,Work Day
2023-10-11,Work Day
2023-10-12,Work Day
2023-10-13,Work Day
2023-10-14,Week Day & Change Holiday
2023-10-15,Week Day & Change Holiday
2023-10-16,Work Day
2023-10-17,Work Day
2023-10-18,Work Day
2023-10-19,Work Day
2023-10-20,Work Day
2023-10-21,Week Day & Change Holiday
2023-10-22,Week Day & Change Holiday
2023-10-23,Work Day
2023-10-24,Work Day
2023-10-25,Work Day
2023-10-26,Work Day
2023-10-27,Work Day
2023-10-28,Week Day & Change Holiday
2023-10-29,Week Day & Change Holiday
2023-10-30,Work Day
2023-10-31,Work Day
2023-11-01,Work Day
2023-11-02,Work Day
2023-11-03,Work Day
2023-11-04,Week Day & Change Holiday
2023-11-05,Week Day & Change Holiday
2023-11-06,Work Day
2023-11-07,Work Day
2023-11-08,Work Day
2023-11-09,Work Day
2023-11-10,Work Day
2023-11-11,双11
2023-11-12,Week Day & Change Holiday
2023-11-13,Work Day
2023-11-14,Work Day
2023-11-15,Work Day
2023-11-16,Work Day
2023-11-17,Work Day
2023-11-18,Week Day & Change Holiday
