timestamp,系统负荷,联络线,风电,光伏
2023-09-04 04:00:00,54424.52,13438.0,1770.23,0.0
2023-09-04 04:15:00,54698.58,13438.0,1662.26,0.0
2023-09-04 04:30:00,55032.72,13438.0,1565.98,0.0
2023-09-04 04:45:00,55534.04,13438.0,1477.68,0.02
2023-09-04 05:00:00,56263.1,13438.0,1387.37,0.53
2023-09-04 05:15:00,57132.65,14038.0,1310.47,1.26
2023-09-04 05:30:00,58145.23,14638.0,1237.12,26.96
2023-09-04 05:45:00,59284.18,15238.0,1171.05,124.13
2023-09-04 06:00:00,60243.19,15852.0,1115.35,338.54
2023-09-04 06:15:00,60415.53,15855.0,1059.91,641.87
2023-09-04 06:30:00,60153.92,15858.0,1006.76,1026.44
2023-09-04 06:45:00,59337.23,15861.0,946.39,1480.4
2023-09-04 07:00:00,59383.91,16234.0,874.68,2010.51
2023-09-04 07:15:00,59623.19,16607.0,799.49,2603.11
2023-09-04 07:30:00,59950.78,16980.0,725.44,3230.56
2023-09-04 07:45:00,60647.19,17375.0,645.68,3860.38
2023-09-04 08:00:00,60452.64,17591.0,587.54,4476.76
2023-09-04 08:15:00,60866.82,17667.0,531.9,5089.55
2023-09-04 08:30:00,61204.22,17743.0,485.21,5674.73
2023-09-04 08:45:00,61111.97,17839.0,440.83,6226.91
2023-09-04 09:00:00,60477.52,17698.0,416.25,6719.8
2023-09-04 09:15:00,60480.06,17706.0,402.51,7170.12
2023-09-04 09:30:00,60575.27,17714.0,388.84,7566.26
2023-09-04 09:45:00,60958.0,17722.0,377.12,7922.98
2023-09-04 10:00:00,61593.92,17733.0,373.42,8231.38
2023-09-04 10:15:00,61976.68,16852.0,376.45,8492.02
2023-09-04 10:30:00,62432.78,15984.0,386.07,8700.44
2023-09-04 10:45:00,62776.33,15101.0,407.36,8868.5
2023-09-04 11:00:00,63168.17,13982.0,432.22,8989.52
2023-09-04 11:15:00,61847.91,13772.0,455.51,9070.59
2023-09-04 11:30:00,60698.97,13565.0,471.36,9112.02
2023-09-04 11:45:00,59169.86,13332.0,483.02,9112.6
2023-09-04 12:00:00,58853.95,13334.0,492.97,9087.19
2023-09-04 12:15:00,58826.18,13333.0,495.04,9046.4
2023-09-04 12:30:00,59354.68,13332.0,489.65,8954.92
2023-09-04 12:45:00,60003.33,13331.0,479.67,8844.37
2023-09-04 13:00:00,60557.84,13332.0,471.96,8697.67
2023-09-04 13:15:00,61419.02,14209.0,475.08,8497.98
2023-09-04 13:30:00,62097.89,15089.0,490.4,8268.38
2023-09-04 13:45:00,62814.7,15969.0,512.67,7981.33
2023-09-04 14:00:00,63374.64,16868.0,543.22,7665.13
2023-09-04 14:15:00,64191.99,16863.0,569.3,7297.63
2023-09-04 14:30:00,65031.29,16858.0,598.81,6889.5
2023-09-04 14:45:00,65737.45,16853.0,633.8,6463.15
2023-09-04 15:00:00,66224.36,16845.0,677.99,5989.62
2023-09-04 15:15:00,66685.77,16975.0,724.18,5500.17
2023-09-04 15:30:00,67206.27,17105.0,772.03,4980.86
2023-09-04 15:45:00,67467.33,17235.0,821.28,4439.18
2023-09-04 16:00:00,68160.86,17367.0,878.07,3855.96
2023-09-04 16:15:00,68910.08,17351.0,930.71,3264.71
2023-09-04 16:30:00,69866.72,17335.0,984.02,2656.17
2023-09-04 16:45:00,70743.05,17319.0,1039.45,2091.15
2023-09-04 17:00:00,71620.07,17510.0,1100.97,1564.8
2023-09-04 17:15:00,72258.42,17719.0,1159.92,1083.43
2023-09-04 17:30:00,72647.5,17928.0,1223.83,667.21
2023-09-04 17:45:00,72925.84,18157.0,1286.95,345.84
2023-09-04 18:00:00,73581.79,18160.0,1357.08,137.63
2023-09-04 18:15:00,74005.23,18185.0,1425.75,36.45
2023-09-04 18:30:00,74527.36,18210.0,1498.99,8.77
2023-09-04 18:45:00,74783.59,18235.0,1570.21,1.24
2023-09-04 19:00:00,74561.06,18257.0,1649.04,0.0
2023-09-04 19:15:00,73860.63,18261.0,1722.74,0.0
2023-09-04 19:30:00,73147.3,18265.0,1802.95,0.0
2023-09-04 19:45:00,72401.09,18269.0,1877.12,0.0
2023-09-04 20:00:00,71766.96,18270.0,1914.72,0.0
2023-09-04 20:15:00,71053.2,18250.0,1943.41,0.0
2023-09-04 20:30:00,70292.82,18230.0,1974.13,0.0
2023-09-04 20:45:00,69646.49,18210.0,1995.58,0.0
2023-09-04 21:00:00,69134.36,17823.0,1983.15,0.0
2023-09-04 21:15:00,68419.67,17456.0,1959.28,0.0
2023-09-04 21:30:00,67628.72,17089.0,1933.62,0.0
2023-09-04 21:45:00,66840.65,16700.0,1910.33,0.0
2023-09-04 22:00:00,66330.12,16491.0,1886.68,0.0
2023-09-04 22:15:00,65463.06,15684.0,1857.52,0.0
2023-09-04 22:30:00,64328.58,14877.0,1831.28,0.0
2023-09-04 22:45:00,63317.3,14050.0,1796.75,0.0
2023-09-04 23:00:00,62200.5,13439.0,1742.88,0.0
2023-09-04 23:15:00,61265.4,13439.0,1686.94,0.0
2023-09-04 23:30:00,60330.55,13439.0,1634.07,0.0
2023-09-04 23:45:00,59462.87,13439.0,1606.48,0.0
2023-09-05 00:00:00,59972.3,14104.0,1415.15,0.0
2023-09-05 00:15:00,59500.29,14103.0,1367.16,0.0
